Société,Ticker,Business_models
CAE Inc.,CAE,"CAE est l'acteur incontournable des technologies de simulation et de formation pour les secteurs de l’aviation civile, de la défense et de la sécurité. Son modèle repose sur l’innovation en simulation, l’expansion des services de formation et la gestion des commandes à long terme.
En 2024, CAE a généré un chiffre d’affaires de 2,21 milliards CAD sur les six premiers mois (+7 % vs 2023) et un bénéfice net de 105,6 millions CAD. Son activité se divise en deux segments. Aviation civile (56 % du CA, 1,23 milliard CAD), portée par la vente de simulateurs de vol (+27 unités commandées sur six mois) et la formation des pilotes. La division Défense et sécurité (44 % du CA, 980,8 millions CAD) connaît une croissance de 3 %, avec des commandes records grâce au contrat FAcT de 25 ans pour l’entraînement des forces aériennes canadiennes (1,7 milliard CAD ajouté au carnet de commandes).
Géographiquement, CAE réalise 41 % de ses revenus en Amérique du Nord, 29 % en Europe, 14 % en Asie-Pacifique et 16 % ailleurs. L’entreprise bénéficie d’un carnet de commandes record de 18 milliards CAD (+53 % vs 2023) et continue d’investir dans l’expansion de ses centres de formation, notamment via l’acquisition majoritaire de SIMCOM Aviation Training pour 230 millions USD.
Risque principal : CAE est exposé aux cycles de dépenses en aviation et défense, à la concurrence accrue dans la simulation et aux défis liés aux contrats fixes hérités de la période pré-COVID. Son succès repose sur la croissance de la formation récurrente et l’exécution efficace des nouveaux contrats militaires."
Canadian Pacific Kansas City Ltd.,CP,"CPKC (Canadian Pacific Kansas City) est le premier chemin de fer reliant directement le Canada, les États-Unis et le Mexique, offrant une infrastructure unique pour le transport de marchandises en Amérique du Nord. Son modèle économique repose sur l’efficacité opérationnelle et l’expansion de son réseau après la fusion entre Canadian Pacific et Kansas City Southern.
Le groupe a généré 14,5 milliards CAD de revenus en 2024 (+16 %). Son chiffre d’affaires se répartit ainsi : Bulk (grains, charbon, potasse) en forte croissance, Merchandise (produits chimiques, métaux, automobiles) et Intermodal (conteneurs). L’Intermodal, bien que clé pour la connectivité entre les trois pays, a été impacté par des perturbations logistiques et climatiques.
La répartition géographique est bien équilibrée grâce à son corridor nord-sud, favorisant le commerce entre les trois pays. L’entreprise a affiché un ratio d’exploitation de 64,4 % en 2024 et vise une amélioration grâce aux synergies post-fusion et aux investissements dans son réseau.
Risque principal : CPKC est exposé aux fluctuations des prix des matières premières, aux perturbations climatiques et aux régulations gouvernementales aux États-Unis et au Mexique, pouvant impacter son activité. Son niveau d’endettement et la rentabilité attendue des synergies de la fusion seront également des éléments à surveiller."
Carrier Global Corp.,CARR,"Carrier est un leader mondial des solutions climatiques et énergétiques intelligentes, spécialisé dans le chauffage, la ventilation et la climatisation (HVAC) ainsi que la réfrigération commerciale. Son modèle économique repose sur l’innovation, l’électrification et l’amélioration de l’efficacité énergétique. En 2024, l’entreprise a réalisé 22,5 milliards CAD de revenus, avec une croissance organique de +3 % et une marge opérationnelle ajustée de 15,5 %.
La répartition des revenus se structure ainsi : 85 % en HVAC (solutions de chauffage et climatisation) et 15 % en réfrigération (chaîne du froid et solutions de transport). L’entreprise a renforcé son offre avec Viessmann Climate Solutions, apportant des synergies technologiques et des gains d’efficacité estimés à 200 millions CAD sur trois ans.
Carrier est bien positionnée sur le marché nord-américain, avec un développement stratégique en Europe et en Asie-Pacifique. L’activité aftermarket, générant des revenus récurrents, affiche une croissance à deux chiffres, soutenue par l’essor des solutions connectées et de la gestion énergétique domestique.
Risque principal : Carrier est exposée à des risques liés à la hausse des coûts des matières premières, aux perturbations de la chaîne d’approvisionnement et à l’intensification de la concurrence. De plus, l’entreprise doit gérer l’intégration de Viessmann et honorer des engagements financiers élevés, notamment liés à son endettement et aux règlements juridiques en cours."
Christian Dior SE,CDI.PA,"Christian Dior SE est une holding de contrôle qui détient 41,4 % du capital et 56 % des droits de vote de LVMH. En 2017, LVMH a intégré la maison de couture Dior dans son portefeuille pour 13,1 milliards de dollars, renforçant son offre dans la mode et la maroquinerie. Le groupe LVMH, sous l’égide de Christian Dior SE, a réalisé 84,7 milliards d’euros de revenus en 2024, avec une marge opérationnelle de 23,1 %. La répartition des revenus est la suivante : Fashion & Leather Goods (48 %), Selective Retailing (22 %), Watches & Jewelry (12 %), Perfumes & Cosmetics (10 %) et Wines & Spirits (7 %). Géographiquement, l’Asie, les États-Unis et l’Europe sont les principaux moteurs de croissance, bien que la Chine montre un ralentissement.
Dior bénéficie d’une forte désirabilité de marque, soutenue par une stratégie marketing et une distribution sélective. Le Groupe continue aussi d’investir dans la durabilité, avec une réduction significative de ses émissions carbone depuis 2019.
Risque principal : En tant que holding, Christian Dior SE dépend des performances de LVMH, exposé aux fluctuations monétaires, aux cycles du luxe et aux incertitudes économiques en Chine. Son modèle reste cependant solide, porté par une diversification sectorielle et une gouvernance familiale stable."
Compagnie Financière Richemont SA,CFR.SW,"Richemont est un acteur majeur du luxe mondial, spécialisé dans la joaillerie, l’horlogerie et la mode & accessoires. En 2024, le groupe a réalisé 6,2 milliards d’euros de ventes au troisième trimestre (+10 % à taux constants) et affiche une position de trésorerie nette de 7,9 milliards d’euros.
La répartition des revenus est dominée par les maisons de joaillerie (71 % du chiffre d’affaires), suivies des horlogers spécialisés (7 %) et des autres segments, incluant la mode et les plateformes digitales (22 %). Les marques phares du groupe incluent Cartier, Van Cleef & Arpels et Buccellati pour la joaillerie, ainsi que IWC, Jaeger-LeCoultre, Vacheron Constantin et Panerai pour l’horlogerie.
Sur le plan géographique, les Amériques (+22 %) et l’Europe (+19 %) ont été les principaux moteurs de croissance, tandis que la Chine est restée un marché difficile (-7 % en Asie-Pacifique). Le retail direct (78 % des ventes) continue de croître, avec une progression marquée des canaux en ligne (+17 %).
Risque principal : Richemont est exposé à la sensibilité du marché du luxe aux cycles économiques et à la faiblesse de la demande chinoise, qui peut peser sur l’horlogerie. Le groupe doit aussi gérer l’intensification de la concurrence sur le segment de la joaillerie, tout en poursuivant ses investissements dans la distribution et l’innovation produit."
Corning Inc.,GLW,"Corning est un leader mondial des matériaux innovants, spécialisé dans les technologies du verre, les communications optiques, l’automobile, les sciences de la vie et les technologies environnementales. En 2024, l’entreprise a généré 14,5 milliards de dollars de chiffre d’affaires (+7 % sur un an) avec une marge brute de 38,2 % et un cash-flow libre ajusté de 1,25 milliard de dollars (+42 %).
La répartition des revenus par segment est la suivante : Optical Communications (32 %), Display Technologies (27 %), Specialty Materials (14 %), Environmental Technologies (12 %) et Life Sciences (7 %). L’activité la plus dynamique est celle des réseaux optiques (+51 % sur un an en Q4), notamment grâce à l’essor de l’intelligence artificielle générative et des centres de données.
Corning bénéficie d’une position forte grâce à ses brevets technologiques, son expertise dans le verre et la fibre optique et son diversification industrielle. L’entreprise continue d’investir dans des projets stratégiques comme l’expansion de sa production de Gorilla Glass et le développement de solutions pour l’interconnexion des centres de données via la fibre optique.
Risque principal : Corning est sensible aux fluctuations des devises, notamment du yen japonais, ainsi qu’aux cycles économiques dans l’électronique et l’automobile. La dépendance aux grands clients, comme Apple pour les écrans et la connectivité, peut aussi affecter sa performance en cas de ralentissement des commandes."
Covivio,COV.PA,"Covivio est une société qui compte au sein de l’immobilier européen, spécialisé dans les bureaux, l’hôtellerie et le résidentiel. Son portefeuille est valorisé à 15,4 milliards d’euros (23 milliards d’euros en part totale), avec une présence stratégique dans les grandes villes européennes. L’entreprise mise sur la centralité, la durabilité et l’hospitalité pour maximiser la rentabilité et la valorisation de ses actifs.
La répartition des revenus est équilibrée entre les bureaux (50 %), l’hôtellerie (30 %) et le résidentiel (20 %). Les bureaux, situés à 69 % en centres-villes, affichent un taux d’occupation de 95,6 % et une rentabilité stable. Le segment hôtelier est le premier portefeuille hôtelier en Europe, avec 311 hôtels et 43 400 chambres, bénéficiant d’une croissance continue du tourisme. Le résidentiel, principalement en Allemagne (Berlin, Hambourg, NRW), représente une opportunité de valorisation grâce à la forte demande locative et à un potentiel de revalorisation locative de +32 %.
Covivio a accéléré la diversification de son portefeuille, avec 1,5 milliard d’euros de cessions réalisées depuis 2022 et un endettement maîtrisé (LTV < 40 %). L’entreprise mise sur l’optimisation de ses loyers (+13,6 % de croissance locative cumulée depuis 2022) et le développement de l’hospitalité dans tous ses actifs pour renforcer l’attractivité de son portefeuille.
Risque principal : Covivio reste exposé aux fluctuations des taux d’intérêt et aux cycles immobiliers, notamment dans le bureau et l’hôtellerie. L’entreprise doit aussi gérer l’intensification de la régulation sur le logement en Allemagne et les défis liés à la transformation de certains actifs pour maintenir leur attractivité."
Danone SA,BN.PA,"Danone est un leader mondial de l’alimentation, structuré autour de trois segments : Produits Laitiers et d’Origine Végétale (EDP) (49 % des revenus), Nutrition Spécialisée (32 %) et Eaux (19 %). En 2024, l’entreprise a généré 13,8 milliards d’euros de chiffre d’affaires au premier semestre (+4,0 % à périmètre constant), avec une marge opérationnelle récurrente de 12,7 % (+45 bps).
La répartition géographique des revenus est bien équilibrée : Europe (35 %), Amérique du Nord (24 %), Asie-Pacifique (13 %), Amérique Latine (11 %) et le reste du monde (16 %). La croissance est portée par la performance de la Chine (+8,6 % en 2024) et une dynamique positive en Amérique du Nord (+3,7 %), tandis que l’Europe progresse modérément (+1,7 %).
Danone a renforcé son portefeuille avec la cession des activités bio premium aux États-Unis et la sortie de son activité produits laitiers en Russie, tout en acquérant Functional Formularies, une entreprise spécialisée dans l’alimentation médicale aux États-Unis. L’entreprise poursuit sa transformation avec la stratégie Renew Danone, axée sur l’innovation, la digitalisation et la durabilité.
Risque principal : Danone est exposé à la volatilité des matières premières et de l’énergie, aux fluctuations monétaires et aux évolutions réglementaires sur l’étiquetage et la nutrition. Le ralentissement de la demande en Europe et les tensions géopolitiques pourraient peser sur ses résultats."
Deere & Company,DE,"Deere & Company, plus connu sous le nom de John Deere, est un leader mondial dans la fabrication d'équipements agricoles, de construction et de foresterie. Son modèle économique repose sur l’intégration des technologies intelligentes, l’optimisation des processus agricoles et industriels, et une forte présence dans le financement de ses équipements via John Deere Financial.
En 2024, l’entreprise a généré 51,7 milliards de dollars de chiffre d’affaires, répartis ainsi : Production & Precision Agriculture (41 %), Small Agriculture & Turf (22 %), Construction & Forestry (26 %), et Services Financiers (11 %). Le segment agricole bénéficie de solutions d’automatisation et de connectivité, optimisant l'efficacité et réduisant la consommation d’intrants. Le segment Construction et Foresterie est renforcé par l’adoption de solutions électriques et hybrides pour minimiser l’empreinte carbone.
Géographiquement, l’activité de Deere est dominée par l’Amérique du Nord (60 %), suivie de l’Europe (20 %), de l’Amérique latine (10 %) et du reste du monde (10 %). La société a investi massivement dans l’électrification et les solutions de gestion de données, avec une stratégie d’abonnement sur certains services technologiques (Solutions as a Service).
Risque principal : Deere & Company est exposé aux cycles agricoles et économiques, notamment la fluctuation des prix des matières premières et des taux d’intérêt, qui influencent la demande de ses équipements. L’entreprise doit aussi faire face à des problèmes de chaîne d’approvisionnement et à l’intensification de la concurrence sur les technologies agricoles autonomes et les équipements électriques."
Deutsche Telekom AG,DTE.DE,"Deutsche Telekom est l’un des plus grands opérateurs télécoms mondiaux, dominant les marchés en Europe, en Allemagne et aux États-Unis via T-Mobile US. Son modèle économique repose sur les réseaux 5G et fibre optique, l’expansion internationale, et l’intégration de services numériques.
En 2024, Deutsche Telekom a réalisé 84,8 milliards d’euros de revenus (+2,7 % sur un an) et un EBITDA ajusté de 43 milliards d’euros (+6,9 %). Son chiffre d’affaires est réparti ainsi : T-Mobile US (52 %), Allemagne (22 %), Europe (14 %), Solutions IT (4 %) et autres segments (8 %). Le groupe bénéficie d’un leadership en 5G et fibre optique, avec une couverture de 98 % en Allemagne et en Europe, et plus de 300 millions d’Américains couverts par son réseau 5G avancé.
Géographiquement, l’entreprise est fortement ancrée aux États-Unis (52 % des revenus), en Allemagne (22 %), en Europe (14 %) et dans d’autres marchés (12 %). Elle continue d’investir massivement dans les infrastructures numériques et l’intelligence artificielle pour optimiser l’expérience client et automatiser ses services.
Risque principal : Deutsche Telekom fait face à des défis liés à la pression concurrentielle, aux régulations européennes et américaines, et aux fluctuations des taux d’intérêt, impactant son endettement (128,7 milliards d’euros, ratio de levier <2,75x). La dépendance à T-Mobile US, qui représente plus de la moitié des revenus, est également un facteur à surveiller."
Elis SA,ELIS.PA,"Elis opère au sein des services circulaires spécialisés dans la location-entretien d’articles textiles, d’équipements d’hygiène et de bien-être pour les entreprises. Son modèle économique repose sur un système d’abonnements et de contrats longue durée, offrant une forte récurrence des revenus et une résilience en période de ralentissement économique.
En 2024, Elis a réalisé un chiffre d’affaires record de 4,57 milliards d’euros (+6,1 % par rapport à 2023), avec une croissance organique de +5,2 % et un EBITDA ajusté à 35,2 %. La répartition géographique des revenus est la suivante : France (30 %), Europe centrale (25 %), Scandinavie & Europe de l’Est (14 %), Royaume-Uni & Irlande (12 %), Amérique latine (10 %), Europe du Sud (9 %). La croissance a été particulièrement forte en Amérique latine (+8,7 %) et en Allemagne (+8 %), portée par une forte demande en workwear et services d’hygiène.
Elis poursuit une stratégie d’acquisitions ciblées, avec des opérations récentes aux Pays-Bas (Moderna, Wasned) et en Malaisie (Wonway) pour renforcer son réseau et pénétrer de nouveaux marchés, notamment le secteur du cleanroom. L’entreprise a également consolidé sa position en Espagne, Allemagne et Suisse avec trois acquisitions en 2025 représentant 50 millions d’euros de chiffre d’affaires supplémentaire.
Risque principal : Elis est exposé à l’inflation des coûts salariaux, aux fluctuations des devises, notamment en Amérique latine, et à la sensibilité du secteur hôtelier."
Emerson Electric Co.,EMR,"Emerson est un acteur reconnu des technologies et logiciels industriels, spécialisé dans l’automatisation, les solutions de mesure et contrôle, et les logiciels d’optimisation pour les industries hybrides, de process et discrètes. Son modèle repose sur une forte diversification sectorielle, une présence mondiale et des solutions intégrées permettant aux entreprises d’optimiser leurs opérations et d’atteindre leurs objectifs en matière de durabilité et de digitalisation.
En 2024, Emerson a réalisé un chiffre d’affaires de 17,5 milliards de dollars (+15 % par rapport à 2023), avec une croissance organique de 6 % et une marge EBITA ajustée de 26 %. La répartition des revenus par segment est la suivante : Intelligent Devices (70 %), Software & Control (30 %). La croissance a été soutenue par l'intégration réussie de Test & Measurement, qui a généré 100 millions de dollars de synergies dès la première année.
Géographiquement, l’Amérique (58 % des revenus), l’Europe (25 %) et l’Asie, Moyen-Orient & Afrique (17 %) constituent les principaux marchés. Emerson renforce son positionnement stratégique dans l’automatisation industrielle, avec une montée en puissance de sa branche logicielle AspenTech, qui contribue fortement à la croissance et aux marges du groupe.
Risque principal : Emerson est exposé à la cybercriminalité et aux risques réglementaires liés aux technologies critiques. La hausse des coûts de développement technologique et des acquisitions, ainsi que les fluctuations monétaires et géopolitiques, peuvent impacter ses marges et sa compétitivité."
Engie SA,ENGI.PA,"Engie est un leader mondial de l’énergie, spécialisé dans la production et la distribution d’électricité, de gaz et de solutions énergétiques décarbonées. Son modèle économique repose sur la transition énergétique, l’expansion des énergies renouvelables et les infrastructures de réseaux.
En 2024, Engie a généré un chiffre d’affaires de 45,5 milliards d’euros, avec un EBITDA (hors nucléaire) de 10,4 milliards d’euros (-6 % par rapport à 2023) et une marge opérationnelle solide. La répartition des revenus se structure autour de quatre segments principaux. Les renouvelables représentent 25 % des revenus, avec 43,7 GW de capacités installées et 7,2 GW en construction. Les réseaux comptent pour 22 %, avec une expansion significative, notamment un nouveau projet de 1 000 km de lignes haute tension au Brésil. Les solutions énergétiques pèsent 18 %, englobant les services d’optimisation et d’efficacité énergétique pour les entreprises et collectivités. Enfin, Flex Gen & Retail représente 35 %, avec la production d’électricité à partir de gaz et de nucléaire, ainsi que la commercialisation d’énergie.
La répartition géographique des revenus est bien diversifiée avec 60 % en Europe, 20 % en Amérique latine, 10 % en Amérique du Nord et 10 % dans d’autres marchés.
Risque principal : Engie est exposé à la volatilité des prix de l’énergie, aux contraintes réglementaires liées au nucléaire et à la rentabilité de ses investissements dans les énergies renouvelables, qui nécessitent des capitaux importants et une visibilité sur les tarifs à long terme."
EssilorLuxottica SA,EL.PA,"EssilorLuxottica est un leader mondial de l’optique, intégrant la conception, la fabrication et la distribution de verres correcteurs, montures et lunettes de soleil. Son modèle repose sur une intégration verticale unique, lui permettant de contrôler l’ensemble de la chaîne de valeur, de la fabrication des verres et montures jusqu’à la distribution via un réseau de magasins en propre et partenaires.
En 2024, l’entreprise a généré un chiffre d’affaires de 19,7 milliards d’euros (+4,9 % à taux de change constants). La répartition des revenus se divise en deux segments principaux. Le segment Professional Solutions (9,4 milliards d’euros, +4,5 %) regroupe la vente de verres et montures aux opticiens et professionnels de l’optique. Le segment Direct to Consumer (10,3 milliards d’euros, +5,3 %) concerne la vente directe via son réseau de plus de 17 600 magasins et ses plateformes e-commerce.
Géographiquement, l’Europe (37 % des revenus, +7,3 %) et l’Asie-Pacifique (12 %, +7,7 %) sont les zones les plus dynamiques, tandis que l’Amérique du Nord (45 %, +1,6 %) et l’Amérique latine (6 %, +10,1 %) affichent une croissance plus modérée. La marque Ray-Ban Meta et les innovations comme Transitions Gen S et Stellest pour la myopie contribuent fortement à la croissance.
Risque principal : EssilorLuxottica est exposé aux fluctuations des devises, à la sensibilité des ventes aux cycles économiques et à l’intensification de la concurrence, notamment sur le segment des ventes en ligne et des lunettes connectées"
